389,282
184,157
183,168
149,627
171,695
398,890
447,429
178,16
78,573
55,140
36,680
168,573
298,986
407,355
44,207
142,459
260,112
21,999
196,563
455,629
250,650
209,774
173,81
404,9
74,425
283,408
152,636
497,328
255,971
290,114
26,492
18,129
363,500
32,474
401,522
18,645
337,574
376,677
186,35
266,639
480,173
220,187
474,414
493,955
299,684
180,162
314,260
487,413
273,303
300,139
414,656
357,222
126,815
178,714
67,902
432,90
114,815
276,431
225,931
177,337
491,475
379,472
92,198
464,718
306,294
297,219
37,871
161,299
391,837
367,524
146,589
439,392
80,666
166,337
366,289
82,225
262,97
406,601
175,198
394,201
113,33
438,672
393,685
477,322
4,239
90,785
448,828
481,190
390,515
69,49
104,982
229,516
487,63
52,250
285,724
295,143
28,172
368,79
349,809
445,76
169,567
241,773
304,412
453,813
476,704
89,115
446,230
127,482
76,450
121,127
314,790
24,578
377,459
228,841
299,416
71,832
103,280
2,97
10,993
347,392
384,244
88,946
108,784
314,451
291,910
329,679
225,528
450,467
485,123
396,509
268,613
301,615
29,561
158,112
182,503
463,359
43,340
73,164
85,519
172,612
214,956
429,236
73,481
209,798
443,549
453,344
274,748
289,28
6,207
75,541
88,23
486,638
437,223
261,313
204,304
35,27
236,55
219,865
385,457
102,459
403,305
94,991
118,213
158,420
442,223
369,15
288,179
270,117
222,378
75,61
453,204
291,107
466,363
371,88
82,365
451,383
316,422
431,976
358,510
124,367
449,973
328,616
268,717
311,975
169,136
344,723
328,350
254,634
139,542
365,123
408,647
311,668
466,261
413,501
372,335
329,654
420,302
410,77
278,832
48,226
189,148
151,956
153,50
102,19
163,911
202,275
113,251
472,377
39,305
44,280
36,768
77,498
40,26
60,34
101,799
153,62
371,477
325,222
308,165
216,787
253,859
20,592
208,962
353,8
78,103
385,948
291,611
230,131
161,237
82,451
411,427
219,38
189,109
351,860
387,645
181,60
210,574
500,617
186,194
269,710
420,370
365,258
4,712
473,201
147,75
432,239
455,276
125,436
339,80
152,478
76,265
20,201
459,173
395,337
123,13
177,471
69,938
240,392
67,989
437,739
315,207
179,288
139,931
118,898
421,258
255,282
60,30
139,232
458,880
368,82
478,661
212,571
124,553
182,48
355,965
272,947
423,456
305,313
307,409
183,50
270,321
361,471
452,5
361,19
476,753
425,643
112,722
72,77
358,656
431,160
300,876
103,912
285,490
277,115
113,294
22,68
254,643
303,760
60,338
396,700
375,377
345,466
85,837
11,927
311,395
86,905
136,848
423,266
394,40
368,63
44,826
272,946
95,322
244,120
403,961
223,411
479,439
146,815
320,825
0,316
54,551
280,613
345,969
442,924
349,867
292,979
194,449
409,170
115,697
491,931
469,866
197,469
488,151
268,760
381,409
24,302
195,276
83,149
233,367
496,811
110,974
418,578
340,765
211,881
436,761
120,155
88,887
269,439
412,318
92,258
369,873
174,764
405,875
108,801
203,509
419,451
319,438
166,140
349,779
282,521
319,995
145,323
437,58
95,309
29,524
389,478
42,424
182,200
294,911
237,926
78,445
287,852
424,937
430,784
139,921
237,532
129,738
43,801
419,799
98,226
334,334
404,674
398,37
273,805
437,740
190,520
65,339
473,573
67,188
220,983
414,21
86,625
487,388
87,476
76,466
21,392
18,772
298,226
226,669
457,544
163,691
216,394
235,807
379,845
500,724
231,617
261,534
203,407
411,32
91,17
451,310
74,75
340,737
118,106
426,479
408,888
60,912
206,29
8,35
302,50
394,471
28,248
218,832
464,881
4,109
341,44
70,558
58,517
172,870
313,0
40,469
48,163
121,180
352,842
130,891
387,44
349,574
199,334
173,643
21,895
313,935
492,913
319,158
345,652
194,332
135,308
174,604
498,787
247,27
285,259
34,376
309,725
139,342
140,928
14,473
287,127
144,572
320,753
13,709
440,509
437,839
453,196
305,184
182,3
19,121
158,151
414,317
87,70
256,707
172,496
1,787
446,809
194,747
344,532
356,623
237,993
144,44
496,996
66,736
74,397
436,656
305,761
291,883
472,419
181,883
99,210
63,483
54,403
102,592
376,784
47,867
402,254
343,865
251,441
97,909
411,590
331,345
357,728
173,582
338,984
